Ngoko,Krama,Krama Inggil,Bahasa Indonesia
(di) kubur, dipeptak,disarekake,dikubur
Abang,Abrit,Abrit,Merah
Abot,Awrat,Awrat,Berat
Adang,Bethak,Bethak,Menanak Nasi
Adeg,Ngadeg,Jumeneng,Berdiri
Adhem,Asrep,Asrep,Dingin
Adhi,Adhi,Rayi,Adik
Adoh,Tebih,Tebih,Jauh
Adol,Sade,Sade,Jual
Adu,Aben,Aben,Mengadu
Adus,Adus,Siram,Mandi
Agama,Agami,Agami,Agama
Age-Age,Enggal-Enggal,Enggal-Enggal,Lekas
Aja,Ampun,Ampun,Jangan
Ajang,Ajang,Amben,Tempat
Aji,Aos,Aos,Nilai (harga)
Aksama,Aksami,Aksami,Ampuun
Aku,Kula,Dalem,Saya
Ala,Awon,Awon,Buruk
Alangan,Pambengan,Pambengan,Halangan
Alas,Wana,Wana,Hutan
Ali-Ali,Sesupe,Sesupe,Cincin
Alis,Alis,Imba,Alis
Amarga,Amargi,Amargi,Karena
Amba,Wiyar,Wiyar,Luas
Ambu,Ambet,Ambet,Bau
Ambung,Ambung,Aras,Cium
Amit,Amit,Nuwun Sewu, Permisi
Ampir,Ampir,Pinarak,Singgah
Ana,Wonten,Wonten,Ada
Anak,Yoga,Putra,Anak
Anak-Anak,Anak-Anak,Peputra,Anak-Anak
Angger,Uger,Uger,Asalkan
Angon,angen,angen,menggembala
ani-ani,pugut,pugut,ani-ani
antara,antawis,antawis,antara
anti,antos,antos,tunggu
anut,tumut,nderek,ikut
anyang,awis,awis,menawar
anyar,enggal,enggal,baru
apa,punapa,punapa,apa
apik,sae,sae,bagus
apura,apunten,apunten,maaf
aran,nama,asma,nama
arang,awis,awis,jarang
arep,ajeng,bade,akan
ari-ari,ari-ari,tuntunan,plasenta
arum,arum,arum,harum
asu,segawon,segawon,anjing
ati,manah,galih,hati
ati-ati,ngatos-atos,atos-atos,hati-hati
awak,badan,salira,badan
awan,siyang,siyang,siang
aweh,nyukani,maringi,memberi
ayo,mangga,sumangga,mari
bacut,lajeng,lajeng,lantas
bako,sata,sata,tembakau
baku,baken,baken,baku
balik,mantuk,kondur,pulang
balung,balung,tosan,tulang
banda,banda,besta,belenggu
banget,sanget,sanget,banget
bangkekan,bangkekan,pamekan,pinggang
banjir,bena,bena,banjir
banjur,lajeng,lajeng,kemudian
bantal,bantal,kanjang sirah,bantal
banyu,toya,toya,air
bapak,bapak,rama,bapak
bareng,sareng,sareng,bersama
barep,pambajeng,pambajeng,sulung
bata,banon,banon,batu bata
bathik,serat,serat,batik
bathuk,bathuk,palaparan,dahi
batin,batos,batos,batin
batur,rencang,abdi,teman
bayen,babaran,babaran,melahirkan
bebarengan,sesarengan,sesarengan,bersama-sama
bebed,bebed,nyamping,memakai kain
bebek,kembangan,kembangan,itik
becik,sae,sae,bagus
beda,benten,benten,berbeda
bekti,bektos,bektos,bakti
ben,kajengipun,kersanipun,biar
bener,leres,kasinggahan,benar
bengi,dalu,dalu,malam
beras,uwos,uwos,beras
bisa,saged,saged,bisa
biyen,riyin,rumiyin,dahulu
bocah,lare,lare,anak
bojo,semah,garwa,suami-istri
bokong,bokong,bocong,pantat
bolah,benang,benang,benang
boreh,boreh,konyoh,bedak
brengos,brebgos,gumbala,kumis
bubar,bibar,bibar,selesai
bubrah,bubrah,bibrah,rusak
budhal,budhal,bidhal,berangkat
udan,jawah,jawah,hujan
bungah,manah,penggalih,pikir
buri,wingking,pengkeran,belakang
buru,bujer,bujer,kejar
butuh,betah,betah,perlu
buwang,bechal,kendhang,membuang
buyar,rampung,rampung,bubar
cangkem,cangkem,tutuk,mulut
carita,cariyos,cariyos,cerita
caturan,wicanten,ngendika,pembicaraan
cawis,cawis,caos,sedia
cedhak,celak,cekat,dekat
cekel,cepeng,asta,pegang
celeng,andhapan,andhapan,babi hutan
cendhak,andhap,andhap,pendek
cengel,cengel,griwa,tengkuk
cepet,enggal,enggal,segera
cilik,alit,alit,kecil
clathu,wicanten,ngendika,berkata
coba,cobi,,cobi,coba
cucul,cucul,lukar,melepaskan
cukup,cekap,cekap,cukup
cukur,cukur,pangkas,pangkas
cundhuk,cundhuk,sangsangan,tusuk konde
dadah,dadah,ginda,pijat
dadi,dados,dados,menjadi
dagang,gramen,gramen,berdagang
dalan,radin,margi,jalan
dawa,panjang,panjang,panjang
deleng,ningali,mriksani,mengamati
desa,shusun,shusun,desa
dhada,dhada,jaja,dada
dhayoh,tamu,tamu,tamu
dhek,kala,kala,ketika
dhemen,remen,remen,suka
dhengkul,dhengkul,jengku,lutut
dhewe,piyambak,piyambak,sendiri
dhisik,riyen,rumiyin,dahulu
dhuwit,yatra,arta,uang
dhuwur,inggil,inggil,tinggi
dina,dinten,dinten,hari
dlamakan,dlamakan,samparan,telapak kaki
dluwang,dlacang,dlacang,kertas
dodol,sade,sade,jual
dolan,dolan,ameng-ameng,main
doyan,purun,kersa,mau
driji,driji,racikan,jari-jari
dudu,sanes,sanes,bukan
dulang,ndulang,ndahari,menyuapi
dulur,dherek,dherek,ikut
dumadi,dumados,dumados,menjadi
durung,dereng,dereng,belum
duwe,gadhah,kagungan,punya
edan,ewah,ewah,gila
eling,eling,emut,ingat
elmu,elmi,elmi,ilmu
melu,tumut,nderek,ikut
eluh,eluh,waspa,air mata
embah,embah,eyang,kakek / nenek
embok,ibu,ibu,ibu
embuh,kirangan,ngapunten,entah
enak,eca,eca,enak
endhas,mustaka,mustaka,kepala
endheg,kendel,kendel,henti
endhek,andhap,andhap,rendah
mendhem,mendhem,wuru,mabuk
endhok,tigan,tigan,telur
nganggo,ngangge,ngagem,pakai
enggon,enggen,pidalem,tempat
enom,enom,timur,muda
entek,telas,telas,habis
enteni,entosi,rantosi,tunggu
entik,angsal,pikantuk,mendapat
enya,mangga,sumangga,silahkan
enyang,awis,awis,tawar
aspek,pendhet,pundhut,ambil
esuk,enjiing,enjing,pagi
gajah,liman,liman,gajah
gaman,dedamel,dedamel,senjata
gamelan,gangsa,gangsa,gamelan
gampang,gampil,gampil,mudah
ganti,gantos,gantos,ganti
garing,aking,aking,kering
gawa,bekta,asta,bawa
gawan,bektan,ampilan,bawaan
gawe,damel,damel,membuat
gedhang,pisang,pisang,pisang
gedhe,ageng,ageng,besar
geger,geger,pengkeran,punggung
gelang,binggel,binggel,gelang
gelem,purun,kersa,mau
gelis,enggal,enggal,cepat
gelung,gelung,ukel,sanggul
genep,jangkep,jangkep,genap
geni,latu,grama,api
gentenan,gentosan,gentosan,bergantian
genti,gentos,gentos,ganti
gering,kera,susut,kurus
getih,rah,rah,darah
githok,githok,julukan,tengkuk
godhong,ron,ron,daun
golek,pados,pados,mencari
goroh,dara,dara,bohong
gugah,gugah,wungu,bangun
gula,gigat,gigat,menggugat
guna,gina,gina,manfaat
gunem,ginem,ngandika,bicara
guneman,gineman,ngandikan,berbicara
guyon,gugejengan,gugejengan,bercanda
guyu,gujeng,gujeng,tawa
idep,idep,ibing,bulu mata
idu,idu,kecoh,ludah
iga,iga,anusan,tulang iga
ijo,ijem,ijem,hijau
ijoan,ijeman,ijeman,undangan lisan
ijol,lintu,lintu,tukar
kae,punika,punika,itu
iket,iket,destar,ikat kepala
iki,punika,punika,ini
ilang,ical,ical,hilang
ilat,ilat,lidhah,lidah
ilo,ilo,paningalan,cermin
imbu,imbet,imbet,peram
imbuh,imbet,tanduk,tambah lagi
inep,nyinep,nyare,bermalam
ingon-ingon,ingah-ingah,ingah-ingah,ternak
ingu,ingu,ingah,piara
ireng,cemeng,cemeng,hitam
irung,irung,grana,hidung
isa,saged,saged,bisa
isih,taksih,taksih,masih
